AIRLINE,MONTH,DAY_OF_WEEK,TAXI_OUT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY
"Spirit Air Lines",7,7,13,-6,1119,-7
"Skywest Airlines Inc.",7,3,16,-4,911,-25
"American Airlines Inc.",11,4,14,-4,2125,-10
"United Air Lines Inc.",10,5,11,-7,888,-17
"Southwest Airlines Co.",11,3,8,97,417,93
"Atlantic Southeast Airlines",7,2,10,-5,89,-19
"Delta Air Lines Inc.",5,4,24,-7,731,-11
"Atlantic Southeast Airlines",12,4,9,-18,201,-23
"Atlantic Southeast Airlines",10,4,6,-14,253,-26
"Delta Air Lines Inc.",7,7,13,14,594,-1
"Delta Air Lines Inc.",7,4,13,3,946,-18
"Delta Air Lines Inc.",8,3,10,-4,549,-1
"American Airlines Inc.",7,2,20,207,986,194
"American Eagle Airlines Inc.",3,5,27,-3,102,16
"American Eagle Airlines Inc.",11,7,25,0,177,-10
"United Air Lines Inc.",10,6,18,-10,2402,-39
"Delta Air Lines Inc.",7,4,15,-3,1481,-15
"Delta Air Lines Inc.",8,6,15,0,2218,-3
"Delta Air Lines Inc.",10,4,11,1,235,-4
"Skywest Airlines Inc.",12,7,18,40,156,36
"Skywest Airlines Inc.",4,7,18,-13,403,-18
"Alaska Airlines Inc.",4,6,15,-11,978,-29
"JetBlue Airways",12,1,13,-1,2173,-29
"JetBlue Airways",8,1,20,2,187,-3
"Atlantic Southeast Airlines",8,7,11,-9,241,1
"JetBlue Airways",7,2,11,87,474,70
"American Eagle Airlines Inc.",6,7,16,-8,135,-19
"Atlantic Southeast Airlines",10,5,17,-7,304,0
"Spirit Air Lines",3,2,9,-2,466,-6
"Southwest Airlines Co.",11,5,9,2,711,-11
"Southwest Airlines Co.",1,1,10,0,148,-5
"American Airlines Inc.",11,1,51,0,1145,26
"Skywest Airlines Inc.",4,3,12,-2,373,2
"Southwest Airlines Co.",4,2,14,-4,488,-6
"American Airlines Inc.",9,2,14,-7,631,-6
"Skywest Airlines Inc.",10,1,22,-3,220,7
"Hawaiian Airlines Inc.",9,6,13,14,102,15
"Delta Air Lines Inc.",4,2,17,-5,606,-9
"Delta Air Lines Inc.",8,3,15,-4,366,-8
"Delta Air Lines Inc.",1,5,18,202,1121,216
"JetBlue Airways",1,6,13,9,369,43
"Southwest Airlines Co.",9,7,8,-4,409,-14
"United Air Lines Inc.",5,5,23,-5,200,-13
"American Airlines Inc.",11,3,21,-8,214,-3
"Skywest Airlines Inc.",12,6,34,-9,996,12
"Atlantic Southeast Airlines",6,2,11,6,152,-15
"American Eagle Airlines Inc.",7,3,5,0,296,-28
"Southwest Airlines Co.",9,2,13,0,1107,-8
"American Airlines Inc.",5,5,20,17,2088,10
"Skywest Airlines Inc.",6,1,21,-7,651,-8
"Spirit Air Lines",3,5,11,-9,1824,-10
"Atlantic Southeast Airlines",6,2,13,161,354,148
"Delta Air Lines Inc.",6,5,12,56,981,50
"Southwest Airlines Co.",6,4,14,4,1092,-4
"American Eagle Airlines Inc.",7,4,12,-6,642,-33
"JetBlue Airways",3,4,21,25,1598,0
"Delta Air Lines Inc.",7,5,15,-4,528,-5
"Atlantic Southeast Airlines",4,1,14,0,208,0
"Delta Air Lines Inc.",11,1,19,3,404,2
"Skywest Airlines Inc.",5,3,44,15,451,39
"Southwest Airlines Co.",10,4,9,-4,569,1
"United Air Lines Inc.",5,4,13,5,413,-14
"American Airlines Inc.",2,1,23,-6,740,49
"Southwest Airlines Co.",9,5,8,2,159,-2
"Southwest Airlines Co.",12,7,14,1,484,1
"American Airlines Inc.",12,5,22,3,337,-2
"Alaska Airlines Inc.",10,2,15,-1,1542,-12
"Southwest Airlines Co.",10,1,9,17,228,3
"Alaska Airlines Inc.",1,6,10,-22,680,-18
"Atlantic Southeast Airlines",12,5,21,-3,448,5
"Delta Air Lines Inc.",2,3,16,-2,481,-10
"Skywest Airlines Inc.",2,6,15,-6,370,-13
"Southwest Airlines Co.",6,2,10,131,404,120
"American Airlines Inc.",1,7,11,-3,624,4
"Skywest Airlines Inc.",2,3,39,-2,507,16
"Skywest Airlines Inc.",8,4,24,22,411,26
"JetBlue Airways",2,3,18,-3,1011,1
"Delta Air Lines Inc.",10,2,23,-10,746,-37
"Delta Air Lines Inc.",10,6,15,2,231,-2
"American Airlines Inc.",2,5,26,-3,2174,-28
"Skywest Airlines Inc.",12,2,18,-3,261,0
"JetBlue Airways",1,3,23,16,1047,17
"Skywest Airlines Inc.",6,7,15,-7,158,-22
"Southwest Airlines Co.",7,5,12,44,806,36
"Delta Air Lines Inc.",5,6,16,0,1589,-3
"Delta Air Lines Inc.",9,2,10,-6,297,-14
"American Airlines Inc.",8,6,11,30,731,10
"American Airlines Inc.",11,1,15,-3,184,-28
"American Airlines Inc.",9,2,14,-6,1276,-22
"Spirit Air Lines",11,3,14,-3,2343,2
"American Airlines Inc.",11,7,14,12,1197,-3
"Delta Air Lines Inc.",3,4,13,-3,488,-24
"American Eagle Airlines Inc.",4,3,41,-8,764,8
"Atlantic Southeast Airlines",1,2,11,20,448,14
"JetBlue Airways",5,1,8,-5,588,-17
"American Eagle Airlines Inc.",1,7,12,81,181,77
"American Airlines Inc.",12,7,18,-5,728,-8
"Southwest Airlines Co.",5,7,60,4,226,47
"Southwest Airlines Co.",10,2,9,24,842,9
"United Air Lines Inc.",8,2,19,13,967,5
"Atlantic Southeast Airlines",11,6,15,7,308,5
"United Air Lines Inc.",5,3,21,3,2402,-27
"Skywest Airlines Inc.",9,1,19,-5,451,-17
"Southwest Airlines Co.",4,2,9,-1,895,-13
"United Air Lines Inc.",12,1,19,-9,937,-18
"Southwest Airlines Co.",11,5,23,7,328,23
"Delta Air Lines Inc.",5,6,21,-2,1080,-13
"Delta Air Lines Inc.",3,4,23,-2,442,-9
"Skywest Airlines Inc.",12,5,23,12,326,8
"American Eagle Airlines Inc.",1,3,10,16,685,14
"Skywest Airlines Inc.",12,1,14,0,1708,0
"JetBlue Airways",11,7,10,56,1046,40
"Skywest Airlines Inc.",2,6,18,-2,272,0
"Delta Air Lines Inc.",10,5,21,-4,692,-13
"Atlantic Southeast Airlines",10,6,11,-6,438,-17
"American Airlines Inc.",7,1,34,12,1107,40
"Southwest Airlines Co.",7,3,12,-1,1756,2
"Southwest Airlines Co.",3,7,12,-1,1139,-4
"Southwest Airlines Co.",10,5,43,8,361,29
"Southwest Airlines Co.",9,6,18,3,806,1
"Alaska Airlines Inc.",3,6,14,-6,627,-8
"American Airlines Inc.",8,3,19,-9,592,12
"JetBlue Airways",5,1,15,-2,2611,-8
"United Air Lines Inc.",3,5,18,0,337,-9
"American Airlines Inc.",10,7,13,-5,1744,-27
"Atlantic Southeast Airlines",3,1,16,-4,317,-6
"Atlantic Southeast Airlines",8,5,12,-13,383,-2
"Southwest Airlines Co.",12,2,13,-4,447,-4
"Spirit Air Lines",4,1,13,-11,1084,-3
"Delta Air Lines Inc.",9,2,14,-14,151,-22
"Southwest Airlines Co.",1,5,10,-7,226,-15
"Delta Air Lines Inc.",11,7,14,14,577,0
"United Air Lines Inc.",11,1,12,-9,1062,-18
"Skywest Airlines Inc.",5,1,25,-11,160,-9
"Skywest Airlines Inc.",3,1,20,-4,411,-5
"Virgin America",6,4,58,55,337,93
"Delta Air Lines Inc.",7,6,18,48,1086,40
"Skywest Airlines Inc.",7,5,14,59,265,46
"Delta Air Lines Inc.",5,7,13,-9,250,-15
"American Eagle Airlines Inc.",6,5,8,42,691,30
"Skywest Airlines Inc.",9,7,12,-8,196,-20
"Delta Air Lines Inc.",3,1,11,1,1416,8
"JetBlue Airways",9,7,14,-5,1118,-4
"Atlantic Southeast Airlines",9,4,11,-10,1091,-23
"Hawaiian Airlines Inc.",4,2,6,-7,100,-3
"Atlantic Southeast Airlines",11,7,16,-3,416,-11
"Atlantic Southeast Airlines",8,2,19,24,399,36
"JetBlue Airways",5,3,33,49,541,55
"United Air Lines Inc.",4,2,13,1,200,-22
"American Airlines Inc.",6,5,17,-5,175,-6
"Atlantic Southeast Airlines",11,7,13,89,143,83
"Delta Air Lines Inc.",2,5,27,0,2504,16
"Virgin America",4,2,25,-2,447,9
"Delta Air Lines Inc.",8,7,18,0,502,-29
"United Air Lines Inc.",10,4,34,7,1744,30
"Delta Air Lines Inc.",9,1,38,-4,356,20
"JetBlue Airways",11,3,30,-4,264,3
"Atlantic Southeast Airlines",10,3,19,-6,780,-10
"Southwest Airlines Co.",5,3,16,-2,1076,-3
"United Air Lines Inc.",7,5,12,20,641,6
"American Airlines Inc.",11,5,24,-5,184,-11
"Skywest Airlines Inc.",8,1,13,-4,349,-6
"US Airways Inc.",4,5,19,-3,257,8
"American Airlines Inc.",11,7,15,-9,403,-5
"Southwest Airlines Co.",2,4,9,-8,483,-13
"Skywest Airlines Inc.",5,7,19,-4,550,-14
"Skywest Airlines Inc.",1,3,10,3,342,-17
"Delta Air Lines Inc.",4,4,14,-4,192,-28
"Delta Air Lines Inc.",1,4,20,20,501,4
"Delta Air Lines Inc.",12,3,21,-2,453,-7
"Atlantic Southeast Airlines",3,1,14,-9,277,-10
"Atlantic Southeast Airlines",2,6,14,-4,315,-14
"JetBlue Airways",7,5,9,-1,1368,-20
"US Airways Inc.",2,2,14,6,599,-5
"Virgin America",11,3,14,-1,2565,-8
"Spirit Air Lines",5,7,12,-5,1954,-15
"United Air Lines Inc.",11,6,26,37,719,27
"Alaska Airlines Inc.",2,6,16,-14,867,-7
"Southwest Airlines Co.",4,3,7,-4,296,-10
"Southwest Airlines Co.",7,4,7,18,197,7
"Delta Air Lines Inc.",3,1,27,-4,632,-7
"American Eagle Airlines Inc.",1,4,15,0,134,3
"American Airlines Inc.",12,3,14,15,599,-9
"Delta Air Lines Inc.",4,4,11,0,515,-3
"Atlantic Southeast Airlines",10,5,15,-10,708,-8
"Delta Air Lines Inc.",11,7,10,3,1306,4
"Alaska Airlines Inc.",10,2,12,-3,2562,-1
"Atlantic Southeast Airlines",9,4,15,-6,630,-6
"US Airways Inc.",4,1,31,2,280,-7
"Atlantic Southeast Airlines",11,3,13,-8,227,-13
"Skywest Airlines Inc.",3,1,24,7,411,1
"Atlantic Southeast Airlines",9,1,9,3,654,-4
"JetBlue Airways",2,2,15,5,1189,-1
"Southwest Airlines Co.",12,3,7,-3,1209,-9
"Southwest Airlines Co.",9,4,9,-4,725,-9
"American Eagle Airlines Inc.",5,7,10,6,364,-7
"Virgin America",6,7,14,120,1504,113
"JetBlue Airways",12,6,18,0,228,-13
"Alaska Airlines Inc.",8,5,19,40,987,35
"American Eagle Airlines Inc.",10,4,25,-4,122,13
"Southwest Airlines Co.",10,3,10,3,655,-7
"Alaska Airlines Inc.",12,2,28,-11,954,-6
"Atlantic Southeast Airlines",4,3,13,46,409,27
"JetBlue Airways",4,2,8,-8,387,-4
"Frontier Airlines Inc.",8,4,18,-8,1062,1
"Delta Air Lines Inc.",1,1,10,2,669,-16
"American Airlines Inc.",11,4,20,-3,187,-15
"US Airways Inc.",3,1,25,0,1671,-10
"Southwest Airlines Co.",4,3,11,-2,1155,-12
"Skywest Airlines Inc.",7,2,24,-2,347,-12
"American Airlines Inc.",7,2,15,-7,599,-29
"Southwest Airlines Co.",8,6,23,-3,647,1
"Delta Air Lines Inc.",3,4,81,11,2422,61
"Atlantic Southeast Airlines",1,5,10,-3,803,3
"Southwest Airlines Co.",8,1,25,-4,1180,-4
"Delta Air Lines Inc.",10,5,14,0,481,-8
"United Air Lines Inc.",11,4,27,-8,200,-7
"US Airways Inc.",1,3,27,1,544,11
"Atlantic Southeast Airlines",10,6,11,-3,201,3
"Delta Air Lines Inc.",10,4,19,-7,528,-3
"Skywest Airlines Inc.",6,2,32,-4,235,8
"Southwest Airlines Co.",3,1,15,-1,756,6
"Southwest Airlines Co.",12,4,24,7,495,14
"American Eagle Airlines Inc.",5,5,21,5,140,-4
"Southwest Airlines Co.",3,6,8,-5,409,-21
"Southwest Airlines Co.",1,5,12,-1,655,0
"Delta Air Lines Inc.",6,1,13,24,630,26
"Delta Air Lines Inc.",11,2,20,15,528,14
"Delta Air Lines Inc.",9,2,10,-6,674,-6
"Southwest Airlines Co.",9,4,10,-1,345,-6
"Delta Air Lines Inc.",7,3,19,23,366,15
"Southwest Airlines Co.",2,7,13,-4,192,-1
"Southwest Airlines Co.",2,4,8,15,181,11
"Atlantic Southeast Airlines",8,7,12,-6,170,-20
"JetBlue Airways",11,4,13,-4,1226,-2
"Skywest Airlines Inc.",3,5,13,-7,326,-8
"Delta Air Lines Inc.",8,2,34,9,1541,8
"Southwest Airlines Co.",10,7,31,0,480,11
"US Airways Inc.",5,7,16,-2,1107,2
"JetBlue Airways",12,4,12,-5,937,-12
"Southwest Airlines Co.",12,1,22,40,237,55
"Skywest Airlines Inc.",10,2,10,-4,677,-13
"American Airlines Inc.",7,7,10,17,978,6
"Skywest Airlines Inc.",8,3,17,-3,449,-5
"Atlantic Southeast Airlines",6,2,9,-1,300,-7
"JetBlue Airways",12,2,12,-2,759,-18
"Skywest Airlines Inc.",7,3,15,-3,749,5
"US Airways Inc.",5,1,28,139,184,134
"Southwest Airlines Co.",3,2,10,14,1728,3
"Delta Air Lines Inc.",8,6,29,-3,432,-5
"United Air Lines Inc.",7,7,10,1,1726,-20
"Delta Air Lines Inc.",7,1,12,-3,749,-20
"Hawaiian Airlines Inc.",8,2,6,28,102,27
"American Eagle Airlines Inc.",5,2,19,62,296,66
"Southwest Airlines Co.",11,3,14,24,867,14
"Delta Air Lines Inc.",2,6,12,-2,406,-7
"Delta Air Lines Inc.",12,2,18,37,954,55
"Southwest Airlines Co.",6,7,9,57,583,44
"Skywest Airlines Inc.",3,5,17,-8,320,-17
"Skywest Airlines Inc.",9,6,13,-3,73,1
"American Airlines Inc.",11,2,11,-7,430,-16
"Southwest Airlines Co.",4,4,12,66,293,66
"Atlantic Southeast Airlines",6,7,14,-4,625,-16
"United Air Lines Inc.",6,7,15,-2,2565,-17
"American Airlines Inc.",3,4,10,-11,460,-8
"United Air Lines Inc.",5,4,14,5,2419,-8
"Atlantic Southeast Airlines",11,4,12,134,500,164
"Skywest Airlines Inc.",6,7,12,-8,236,-11
"American Airlines Inc.",9,5,17,75,544,67
"Southwest Airlines Co.",11,1,7,4,308,3
"American Eagle Airlines Inc.",1,1,16,-11,135,-20
"Atlantic Southeast Airlines",6,2,13,97,771,95
"American Airlines Inc.",11,7,13,11,1464,6
"American Eagle Airlines Inc.",8,6,23,-8,113,-8
"United Air Lines Inc.",6,1,76,42,719,86
"Southwest Airlines Co.",5,3,17,0,365,4
"Southwest Airlines Co.",7,7,9,34,787,22
"US Airways Inc.",6,6,12,-5,621,-15
"American Airlines Inc.",7,7,42,-2,612,12
"United Air Lines Inc.",5,2,14,-5,2338,8
"American Airlines Inc.",11,2,16,7,919,7
"Virgin America",9,7,13,-3,447,-14
"Skywest Airlines Inc.",3,4,18,5,715,-4
"Atlantic Southeast Airlines",8,6,7,1,773,-11
"Skywest Airlines Inc.",12,7,14,3,651,11
"Southwest Airlines Co.",5,1,6,-3,966,-14
"Delta Air Lines Inc.",3,5,22,4,1127,-6
"US Airways Inc.",6,6,22,4,2402,-2
"American Airlines Inc.",7,7,12,-3,460,-5
"JetBlue Airways",6,7,17,23,2248,28
"Alaska Airlines Inc.",7,4,8,-3,978,-14
"Alaska Airlines Inc.",11,3,15,-1,867,-13
"Southwest Airlines Co.",11,1,11,48,365,40
"Atlantic Southeast Airlines",8,1,21,-8,398,0
"Southwest Airlines Co.",8,6,16,-1,1050,-23
"Southwest Airlines Co.",6,1,32,-1,570,17
"Skywest Airlines Inc.",6,5,10,-4,679,-6
"JetBlue Airways",12,7,22,55,1129,54
"Southwest Airlines Co.",7,3,7,-1,296,-6
"US Airways Inc.",1,5,12,-6,1587,-14
"Atlantic Southeast Airlines",7,7,8,-10,936,-19
"Atlantic Southeast Airlines",11,7,29,-2,238,16
"Southwest Airlines Co.",8,7,7,-1,786,-1
"American Eagle Airlines Inc.",1,3,7,39,235,17
"Southwest Airlines Co.",10,4,19,-2,819,-12
"American Airlines Inc.",10,7,22,-2,731,-13
"American Airlines Inc.",12,5,14,29,1205,17
"Delta Air Lines Inc.",5,3,16,-1,2475,-11
"Alaska Airlines Inc.",11,4,19,-3,1542,11
"United Air Lines Inc.",3,5,20,13,612,0
"Delta Air Lines Inc.",1,5,9,-3,932,-24
"Virgin America",11,7,9,-1,679,-6
"Southwest Airlines Co.",12,2,8,42,484,33
"American Airlines Inc.",8,3,16,-3,2165,-33
"Southwest Airlines Co.",12,3,25,6,588,16
"Delta Air Lines Inc.",12,6,11,-4,321,-9
"Southwest Airlines Co.",4,7,12,16,337,17
"Southwest Airlines Co.",10,4,13,-2,220,2
"Delta Air Lines Inc.",7,6,19,15,1276,19
"United Air Lines Inc.",12,5,13,19,589,6
"Delta Air Lines Inc.",5,7,25,47,666,45
"Atlantic Southeast Airlines",2,1,16,24,349,25
"Southwest Airlines Co.",9,3,10,1,1671,-31
"Delta Air Lines Inc.",11,1,10,-7,821,-19
"Southwest Airlines Co.",7,3,9,187,1057,176
"US Airways Inc.",6,4,9,-9,255,-16
"Southwest Airlines Co.",6,6,9,57,488,49
"American Airlines Inc.",7,3,12,9,1068,7
"American Airlines Inc.",12,6,12,11,2296,-5
"Skywest Airlines Inc.",3,5,15,-4,265,-10
"Southwest Airlines Co.",8,5,18,11,361,1
"Atlantic Southeast Airlines",12,4,13,-7,334,-21
"Skywest Airlines Inc.",12,4,16,28,334,16
"US Airways Inc.",4,4,10,0,575,-11
"American Airlines Inc.",7,4,10,7,1438,-4
"JetBlue Airways",9,2,22,-7,944,-7
"Skywest Airlines Inc.",7,1,16,3,563,-3
"Skywest Airlines Inc.",2,2,13,-5,86,-8
"Atlantic Southeast Airlines",6,4,29,108,408,119
"Southwest Airlines Co.",2,3,13,-11,2139,-28
"Delta Air Lines Inc.",12,4,18,-2,1399,4
"Delta Air Lines Inc.",7,2,23,-1,589,-3
"Southwest Airlines Co.",9,5,9,-3,404,-21
"Atlantic Southeast Airlines",2,6,9,-10,986,-8
"Skywest Airlines Inc.",9,2,16,-7,196,-11
"Southwest Airlines Co.",11,7,14,8,255,2
"Atlantic Southeast Airlines",9,2,21,-5,170,-8
"Delta Air Lines Inc.",12,7,13,-11,1084,-16
"Virgin America",7,1,12,72,2565,73
"Southwest Airlines Co.",7,4,10,1,248,1
"United Air Lines Inc.",7,2,12,-4,2556,-13
"Southwest Airlines Co.",4,2,6,37,325,38
"Skywest Airlines Inc.",12,5,32,2,689,3
"Delta Air Lines Inc.",9,3,32,0,2422,-25
"American Airlines Inc.",11,6,16,-8,1721,5
"Atlantic Southeast Airlines",2,4,18,6,429,10
"Southwest Airlines Co.",9,1,14,0,837,1
"Atlantic Southeast Airlines",9,4,28,-2,628,43
"Atlantic Southeast Airlines",12,7,17,7,456,2
"Delta Air Lines Inc.",1,1,17,-1,630,-6
"American Airlines Inc.",5,5,24,-1,802,-10
"Spirit Air Lines",8,5,11,0,925,-11
"Atlantic Southeast Airlines",4,3,24,-7,83,-3
"United Air Lines Inc.",2,2,14,23,622,15
"Southwest Airlines Co.",8,2,9,-3,342,-7
"Southwest Airlines Co.",12,3,7,112,496,108
"American Airlines Inc.",11,3,16,-7,214,-12
"Atlantic Southeast Airlines",11,4,26,25,238,34
"Southwest Airlines Co.",10,7,9,-2,928,-28
"Southwest Airlines Co.",12,1,9,34,587,30
"American Eagle Airlines Inc.",9,3,17,18,258,6
"Skywest Airlines Inc.",1,3,28,5,287,15
"US Airways Inc.",4,6,15,-7,759,-9
"American Eagle Airlines Inc.",11,4,41,23,292,46
"Southwest Airlines Co.",6,2,8,38,337,29
"Southwest Airlines Co.",2,5,26,41,888,21
"Southwest Airlines Co.",9,6,9,0,405,-8
"Atlantic Southeast Airlines",9,6,11,-8,462,-13
"Southwest Airlines Co.",11,1,10,2,672,-5
"Delta Air Lines Inc.",3,5,13,13,545,-2
"Southwest Airlines Co.",2,3,8,0,804,-4
"United Air Lines Inc.",9,7,18,21,4243,-10
"American Airlines Inc.",7,2,10,64,647,51
"JetBlue Airways",10,1,21,1,1065,5
"American Eagle Airlines Inc.",2,2,16,6,280,5
"Delta Air Lines Inc.",10,6,16,-4,331,-17
"Atlantic Southeast Airlines",7,4,20,-2,528,0
"Southwest Airlines Co.",12,3,11,73,386,65
"Southwest Airlines Co.",9,4,10,0,2133,-9
"Alaska Airlines Inc.",8,7,21,19,1448,7
"American Airlines Inc.",10,1,17,3,861,5
"Delta Air Lines Inc.",3,7,19,-3,606,-7
"Southwest Airlines Co.",1,3,7,-2,325,-5
"Hawaiian Airlines Inc.",4,5,10,-5,2417,8
"Southwest Airlines Co.",9,3,9,-1,356,-9
"American Eagle Airlines Inc.",12,3,13,-2,122,-17
"JetBlue Airways",2,1,13,146,634,136
"United Air Lines Inc.",3,2,13,-12,236,-17
"United Air Lines Inc.",4,4,42,24,2454,2
"United Air Lines Inc.",8,4,11,-7,937,-20
"American Eagle Airlines Inc.",7,1,8,-12,604,-20
"Atlantic Southeast Airlines",12,5,10,-3,799,-14
"American Eagle Airlines Inc.",6,6,31,-5,315,8
"American Airlines Inc.",8,6,17,84,507,90
"Skywest Airlines Inc.",7,5,12,-2,627,-6
"Atlantic Southeast Airlines",10,1,28,-5,296,4
"Atlantic Southeast Airlines",8,1,10,82,528,74
"Delta Air Lines Inc.",7,4,15,-1,2079,-9
"United Air Lines Inc.",5,6,11,-1,2052,-8
"Delta Air Lines Inc.",4,6,13,-1,404,-12
"Atlantic Southeast Airlines",9,3,16,43,529,28
"American Eagle Airlines Inc.",5,3,11,-6,139,-7
"Spirit Air Lines",11,7,14,32,1487,24
"American Eagle Airlines Inc.",5,1,18,-4,137,-11
"Skywest Airlines Inc.",9,3,22,96,1195,121
"United Air Lines Inc.",4,3,13,2,925,-22
"Southwest Airlines Co.",4,5,8,35,967,24
"Atlantic Southeast Airlines",11,1,18,-8,760,3
"United Air Lines Inc.",7,4,12,29,794,13
"Alaska Airlines Inc.",1,4,13,-5,590,-14
"American Airlines Inc.",7,2,17,-8,1464,-21
"Southwest Airlines Co.",5,1,9,-4,687,-7
"Southwest Airlines Co.",12,7,11,13,534,6
"Alaska Airlines Inc.",7,5,9,-6,1024,-11
"US Airways Inc.",4,2,12,-6,1773,-6
"American Airlines Inc.",5,2,17,4,1061,-11
"Skywest Airlines Inc.",3,4,17,-3,522,-7
"Southwest Airlines Co.",2,7,14,11,519,-6
"Delta Air Lines Inc.",5,1,41,-1,271,16
"American Airlines Inc.",1,7,35,10,1197,28
"United Air Lines Inc.",9,1,13,0,867,-24
"American Airlines Inc.",7,5,14,-9,247,-12
"American Airlines Inc.",10,2,35,-2,951,19
"United Air Lines Inc.",1,3,13,-3,1346,-20
"Delta Air Lines Inc.",9,3,15,-3,957,-20
"Atlantic Southeast Airlines",9,7,16,-2,563,2
"Delta Air Lines Inc.",2,2,17,-4,632,-16
"Delta Air Lines Inc.",11,1,9,-5,591,-14
"Delta Air Lines Inc.",3,2,12,-2,502,-16
"Southwest Airlines Co.",7,4,10,1,1242,6
"Atlantic Southeast Airlines",2,4,17,18,84,38
"Skywest Airlines Inc.",6,1,13,-11,359,-4
"Atlantic Southeast Airlines",9,2,14,-6,780,-28
"American Airlines Inc.",11,1,53,1,214,9
"Southwest Airlines Co.",10,1,26,5,251,17
"Southwest Airlines Co.",4,2,23,-2,255,-2
"JetBlue Airways",9,1,15,-8,200,-17
"Southwest Airlines Co.",1,3,7,-3,462,-21
"Southwest Airlines Co.",7,4,7,43,546,43
"Southwest Airlines Co.",12,3,17,28,1750,8
"Atlantic Southeast Airlines",11,5,16,-4,351,-14
"Southwest Airlines Co.",8,4,10,-4,895,-20
"American Airlines Inc.",11,2,30,-9,861,-20
"Spirit Air Lines",1,2,58,-2,258,41
"Southwest Airlines Co.",5,1,9,100,1733,88
"United Air Lines Inc.",2,2,10,27,200,23
"Virgin America",9,4,17,-9,447,-7
"Southwest Airlines Co.",10,5,27,8,1750,23
"American Airlines Inc.",8,1,16,6,338,11
"Atlantic Southeast Airlines",2,7,33,-5,505,-2
"Southwest Airlines Co.",6,4,15,-1,641,-10
"Skywest Airlines Inc.",4,7,7,-6,775,-18
"American Eagle Airlines Inc.",11,1,17,0,435,1
